USER_ID,NAME,ADDRESS,NUMBER,DISTRICT,ZIP_CODE,UF,BIRTHDATE
1,Lana,106 Ashwood Road  Nuneaton,6483,JG750D9E8,33736-503,RR,15/01/1978
2,Kelsey,27 Hunter Road  Willesborough,8365,AL394Q8B4,36636-552,SC,24/09/2000
3,Eddy,37 Bradley Road  Patchway,1279,FA753N5U5,54517-130,AC,17/01/1990
4,Connie,33 Keeley Lane  Wootton,6191,HA226Q3H2,49060-310,SE,30/01/1985
5,Aston,2 Collingwood Close  Coniston,1366,BX760B9R4,77162-906,BA,04/08/1986
6,Charlie,Chesworth Farm  Pillar Box Lane  Bradwall,9754,CX060V3X1,72755-279,RJ,07/10/1989
7,Ryan,4 Clarence Road  Corringham,4150,GQ475E9P4,43776-527,MA,14/05/1979
8,George,8 Filey Road  Grimsby,3049,OW274C1E7,51400-963,SE,08/10/1988
9,Julia,2 Apollo Close  Hornchurch,3666,QP491M1B9,41668-453,MA,02/06/1993
10,Kristian,2 Victoria Street  Frizington,7027,LE174F8Z5,68088-401,PI,10/03/1994
11,Ryan,Juniper Way  Lower Street  Shere,9424,BK277M9A5,22529-575,PE,04/08/1987
12,Vincent,20 Minera Mews  London,4674,RN823R8O6,71936-395,MG,25/05/2000
13,Violet,4 Elm Avenue  Mablethorpe,8470,JO747G7G9,28913-357,RN,21/06/1986
14,Grace,Brambles  Slab Lane  Woodfalls,5644,TV343I5B1,22515-171,PI,04/06/1977
15,Ryan,53 Coronation Avenue  Yeovil,6984,KD704J7W3,92330-339,AM,23/11/1999
16,Kate,17 Cwrt Deri  Cwmann,6650,CC874W3O1,95267-691,RS,15/07/2004
17,Sophia,40 Jubilee Street  Cardiff,4685,IX934K9H2,67195-698,MS,29/10/1996
18,Stella,92A Cambray Road  London,7001,QP937H2R8,53102-877,PB,01/08/1989
19,Oscar,19 Sweetbriar Road  Melksham,4104,RS757K2K3,67807-939,GO,18/01/1997
20,Amy,Suite 1  Taggs House  42 Summer Road  Thames Ditton,2960,YP625D8S3,33973-171,SE,08/06/1991
21,Emily,37 Springfield  Stokesley,4321,WA753F2C3,56449-620,RN,17/08/1999
22,Gianna,89 Bluestone Lane  Immingham,1094,AH958W6S4,51371-578,RJ,07/08/1995
23,Fenton,27 The Plantation  Aldeburgh,5521,ZA450O5O3,93117-166,SC,16/06/1996
24,Lucy,Brodawel Farm  Coychurch,2536,PF631J1T8,65392-644,TO,22/02/1988
25,Spike,5 Iris Close  Dudley,9720,UZ059H7J8,51937-427,BA,12/05/1998
26,Henry,10 Heol Y Fro  Llantwit Major,1637,QK605Y3O1,56126-600,RR,04/05/1993
27,Savana,2 Park View  Bishops Sutton,5202,QB420C3E7,70647-487,PA,16/03/1989
28,Elian,1 Heatherside Cottages  Montgomery Hill  Wirral,6596,RW616D6W4,46053-880,PB,30/06/1983
29,Garry,4 Bryn Y Waen  Y Felinheli,4751,FG099L5Y4,83250-896,RJ,16/08/1980
30,Lenny,Flat 3  The Compass Point  Hinton Road  Bournemouth,2453,FP759U7V1,73561-346,PA,30/09/1978
31,Tiana,25 Backwell Street  Manchester,3814,WA579K8S6,31285-279,PI,14/10/1983
32,Adam,17 Fleming Drive  Ashton In Makerfield,8291,UR485H0I5,75860-821,SE,15/02/1983
33,Alina,1 Churchfields  Helsby,8988,PD168Z3E9,46899-577,AM,19/04/1988
34,Eleanor,Riverhall Farm  London Road  Mountfield,4604,RJ373X3A8,78348-533,PR,31/03/1999
35,Kate,Plas Penbryn Pwll Du  Llandecwyn,1896,EU775B2G0,23028-176,PA,24/09/1997
36,Spike,Waun Isaf  Abercych,4646,ML423L7B7,11162-911,AM,19/01/1991
37,Emily,121 High Street  Broadway,5680,YE423V7F2,22107-775,MT,08/11/1987
38,Ryan,4 Silver Way  Wickford,1413,OK817O2K1,96645-346,PB,07/05/1988
39,Sofia,The Ashes  Christmas Lane  Metfield,2804,VH902Q9Z8,46950-373,SP,22/07/1979
40,Adison,3 Phillips Avenue  Royston,4759,BU733G9G4,73189-305,CE,21/02/2003
41,Michael,14 Arrol Park  Sunderland,5068,FI560F4T7,13163-609,PA,19/01/1993
42,Dominik,The Riggs  Bossiney Road  Tintagel,7986,XA932A9P6,95480-476,RN,16/08/1978
43,Alexia,26 Cool Oak Lane  London,6346,QZ969C1C7,92049-958,MA,08/04/1995
44,Jordan,3 Hopkins Orchard  Cricklade,2872,ZC556E8I0,88146-974,SC,04/09/2001
45,Steven,10 Buckingham Close  Wistaston,7743,RR511Q4U5,22673-189,RS,28/08/1979
46,Mary,62 Beltinge Road  Romford,2947,WY671Q4F8,79823-976,PI,28/05/1998
47,Miranda,37 Court Road  Caterham,2920,QY665A4L9,26070-201,RN,05/08/1994
48,Eleanor,11 Harvey Avenue  Wirral,4957,DZ380O4Q8,63298-261,SE,26/10/1978
49,Jasmine,Pantypistyll  Trawsfynydd,1371,QJ230J0P7,55234-356,PA,27/07/1979
50,Edgar,1 Montargis Way  Crowborough,1711,HT918P9A8,18098-785,RN,18/06/2001
51,Stella,10 Jubilee Crescent  Gainsborough,6670,QY659Z0K9,40007-801,PB,28/05/1985
52,Jared,Milner Cottage  1 Fairfax Close  Appleton Roebuck,5096,JT056H0Q9,36306-673,PI,15/12/2003
53,Haris,Annedd Deg  Llanddewi Brefi,1567,VM125K9X8,83411-250,RO,13/04/1988
54,Cadie,Rosemont  Chawleigh,4475,CH594T2X7,29156-675,PE,17/08/1996
55,Jack,3 Kell Cottages  Ripon Road  Pateley Bridge,6063,AR507Y4T7,11416-879,SC,19/12/2002
56,Michael,14 Swaffham Road  Cockley Cley,4871,CY901O8J1,48215-175,AC,23/12/1979
57,Jack,5 Bethel Terrace  Torquay,4283,VC228B8I6,38257-121,PB,18/08/1997
58,Tess,Riverview  Riverton Drive  St Lawrence,4423,VI644Q0G0,73470-855,CE,21/05/1982
59,Amy,11 School Lane  Horton Kirby,4078,RG415V2G7,56331-509,SP,15/02/2004
60,Ellia,21 Siric House  Circular Road South  Colchester,2279,YW419D1G0,99412-790,MT,03/08/1987
61,Brianna,Gale Rigg  Harmire Road  Barnard Castle,7309,VB766A1X6,94910-222,AC,09/03/1985
62,Lana,8 Ty'n Y Cae  Newborough,1967,IV155Z6I7,98616-526,AM,16/11/1978
63,Alexander,29 Primula Street  London,7231,TJ074D5N0,96300-685,SE,19/08/1995
64,Eddy,14 Moring Road  London,2655,VK332U7J2,85056-529,SP,20/08/1999
65,Lyndon,29 Convent Crescent  Blackpool,5252,IN250M0T6,42311-611,BA,01/03/1981
66,Jared,111 Springvale Road  Kings Worthy,5285,AB141R1G3,20230-454,RO,03/01/1997
67,Haris,Willows  Pembury Road  Tunbridge Wells,1547,BG767F1L0,74248-326,RN,30/07/2004
68,Ellia,31 Rimswell Grove  Hull,7815,QL367J0A4,31922-802,RJ,02/03/1998
69,Eleanor,16 Andrew Close  Ailsworth,7172,EL536I6I5,38921-860,AM,09/03/1993
70,Alissa,Flat 4  St Andrews House  28A Wilton Road  Reading,9818,AQ726B5R5,67077-291,MG,16/09/1998
71,Dominik,Glanteifi  Abercych,4051,ON947L8C4,55806-956,AC,17/12/2000
72,April,16 Main Street  Bolsover,7037,KV654X2X5,36032-214,MG,15/12/2000
73,Roman,24 Meadow Way  Bracknell,6807,ID291A0F2,21770-709,MS,14/06/1987
74,Leonardo,34 Edgefield Grove  Waterlooville,9644,UX931I0B0,50934-216,TO,28/11/1994
75,Sophia,125 Victoria Street  Dunstable,5938,FP321Y5Y1,99731-598,PR,22/05/1998
76,Brad,2 Herons Farm Cottages  Pangbourne,2809,WB561H3W0,46738-600,SC,04/01/1987
77,Cherry,50 Summerleaze Crescent  Taunton,8654,MT077Y8B1,51563-740,AP,05/11/1998
78,Garry,Domicilia  Cosheston,8295,LC684E2U4,77563-199,SC,26/07/2002
79,Kellan,South View  Higher Ramsgreave Road  Ramsgreave,1062,SV686O0O8,50237-369,ES,27/02/1990
80,Mary,19 Kingsway  Drighlington,1985,UJ194F4U7,69580-123,AP,26/02/2003
81,Michael,93 The Bank  Bradford,9738,YS462N1D3,88633-493,SP,02/01/1999
82,Aiden,The Bungalow  Lingfield,5434,IY036J9L3,91399-575,RJ,21/05/2004
83,Amy,10 Becket Close  Hastings,9461,KY162R0M9,87810-444,PR,21/05/2004
84,Jack,129 North Barcombe Road  Childwall,5250,JD011M9L3,46059-406,CE,28/04/1987
85,Chelsea,8 Home Croft  Tilehurst,8282,JZ720V9G1,18660-720,PR,30/03/2001
86,Adam,35 Beaumont Avenue  Clacton-On-Sea,7749,RY690G2F0,31496-458,RJ,11/04/1986
87,Henry,17 Henge Way  Portslade,9899,YH466F9T9,94121-153,RJ,14/05/1979
88,Sophia,44 Litchfield Way  Guildford,1651,DZ575N6S9,67352-254,AC,18/03/1984
89,April,The Blue Barn  Tew Lane  Wootton,2866,YX077U8J4,40665-351,SC,18/01/1978
90,Dominik,76 Monmouth Road  London,1086,YR318F2R0,35659-400,GO,16/05/1977
91,Kate,3 Ruskin Avenue  Waltham Abbey,3922,LW930W0A5,97638-216,PI,24/07/1997
92,Robert,333 Lonsdale Avenue  Doncaster,5428,YT398Q8Z8,90198-667,TO,03/02/1985
93,Roman,5 The Terrace  Windermere,2747,TW988P0U9,15768-908,MT,19/07/1980
94,Brad,18 Edwin Jones Way  Lydney,5962,LQ497V7E2,13528-898,SP,27/07/2004
95,Cadie,290 Longley Avenue West  Sheffield,2032,CV736N8K0,28749-383,PB,14/09/2003
96,Tiana,20 Hardy Street  Alfreton,2968,HI869X0U7,32674-349,SC,15/04/2003
97,Jasmine,3 Hill Street  Bridlington,9794,SH885G4J8,32362-798,GO,17/10/1995
98,Arnold,7 Mountfield Walk  Manchester,1829,QX933M5M8,97113-362,PI,19/04/1978
99,Annabella,10 Heol Y Fro  Llantwit Major,9384,KQ741V0B7,84961-547,DF,17/02/1995
100,Tiana,8 Larch Road  Partington,7845,EM759R0T0,41314-339,PA,30/12/1998
