SSN,FNAME,LNAME,BIRTHDATE,EMAIL,TELEPHONE
511101, Richard,Dixon,08/05/1997,r.dixon.41@live.com,+55 (74) 992-4575
511102, Vincent,Johnston,18/07/2004,v.johnston.53@gmail.com,+55 (27) 990977-3328
511103, Eleanor,Davis,11/12/1990,e.davis.13@msn.com,+55 (41) 990625-2268
511104, Spike,Campbell,14/12/1994,s.campbell.22@outlook.com,+55 (80) 980412-9095
511105, Kelsey,Davis,18/02/1985,k.davis.25@icloud.com,+55 (36) 980591-023
511106, Audrey,Perkins,19/02/1985,a.perkins.17@hotmail.com,+55 (30) 990888-5722
511107, Sophia,Adams,24/07/1986,s.adams.79@hotmail.com,+55 (44) 980383-6530
511108, Florrie,Kelly,20/04/1985,f.kelly.70@yahoo.com,+55 (66) 980562-0885
511109, Sofia,Clark,19/06/1981,s.clark.44@msn.com,+55 (10) 990652-2456
511110, James,Elliott,22/03/1987,j.elliott.12@msn.com,+55 (22) 990331-5796
